R,G,B
53,37,44
60,47,45
36,36,22
52,45,30
56,53,39
48,44,39
52,45,48
51,44,49
64,60,55
58,59,43
35,39,28
45,44,48
55,49,60
53,46,49
47,44,36
48,45,40
47,41,46
44,34,47
51,36,50
50,56,63
49,45,50
49,41,42
56,55,51
54,68,57
42,60,47
41,51,39
52,49,41
48,43,40
37,39,39
49,59,59
52,58,63
51,48,57
61,56,65
53,59,66
41,57,63
70,70,76
58,61,66
60,62,70
61,63,74
68,71,85
67,73,86
51,57,68
53,60,69
65,71,78
58,62,67
55,58,62
55,54,58
54,47,54
57,48,58
62,50,62
58,43,57
57,59,40
60,58,50
60,58,57
63,70,63
48,60,48
41,47,46
57,56,66
52,49,58
45,52,47
30,48,35
44,60,53
52,57,56
60,52,52
71,59,59
59,51,61
47,45,67
65,61,67
63,61,67
68,69,73
73,78,81
76,86,86
84,96,96
96,108,108
105,115,115
116,125,129
126,134,141
136,145,155
143,154,168
146,162,179
148,169,190
148,175,196
146,177,200
149,174,200
147,171,195
140,164,186
131,155,175
126,146,164
119,138,153
115,131,144
112,125,139
114,123,136
98,107,117
92,98,109
88,92,103
75,79,90
75,77,87
75,77,87
67,69,79
55,51,76
44,37,50
53,42,45
56,40,51
46,33,59
44,37,70
43,44,65
44,49,48
40,41,25
52,48,30
52,47,38
45,47,41
31,41,28
45,55,38
51,53,34
48,41,26
59,40,59
46,35,38
48,40,33
54,46,39
42,33,36
55,44,52
55,48,51
36,31,28
43,38,40
55,45,62
49,36,62
42,31,51
47,42,43
54,53,43
56,54,46
47,43,42
35,43,42
37,38,29
42,40,29
41,44,42
37,41,52
45,36,57
54,37,51
46,40,41
30,42,36
28,43,45
35,37,47
44,37,44
38,42,37
37,50,42
48,53,56
52,42,59
63,52,32
33,32,22
38,40,40
55,48,51
58,45,43
51,50,40
36,47,37
26,36,30
51,47,46
63,59,54
55,62,57
32,45,47
37,37,53
48,36,58
49,46,61
39,51,55
59,45,46
55,44,46
59,52,57
58,51,58
59,51,62
55,48,61
42,39,54
45,46,60
36,38,49
38,37,47
43,40,49
46,42,48
50,43,50
54,46,53
53,42,50
52,38,44
41,50,60
44,37,42
48,32,33
42,42,42
40,49,59
46,37,64
57,27,62
59,37,61
47,52,53
44,61,48
50,48,38
55,41,43
58,58,64
36,56,57
17,34,23
42,43,27
33,23,59
37,39,49
26,37,21
24,33,12
29,33,22
32,37,35
36,46,40
23,37,25
24,33,23
41,48,45
36,45,48
25,35,35
35,40,38
48,47,43
47,42,43
41,38,40
17,36,33
51,46,61
42,21,46
35,26,39
23,40,31
26,53,37
30,43,41
44,34,51
38,26,46
24,32,32
17,43,29
20,42,30
28,30,38
39,32,47
32,38,43
8,33,23
8,22,0
22,26,20
42,36,47
53,40,56
40,29,39
36,31,33
26,31,22
19,33,9
19,37,6
19,34,13
25,28,33
26,19,40
23,15,32
41,41,41
38,44,33
26,34,23
51,44,47
40,44,45
39,47,47
49,46,48
46,35,37
37,33,32
29,40,37
37,46,43
44,42,41
31,30,26
33,43,37
27,41,35
24,25,23
44,32,32
54,44,44
43,41,40
54,44,27
38,35,30
33,36,40
44,43,45
43,36,33
50,38,36
33,30,32
29,37,37
30,39,36
60,56,55
62,48,52
46,34,40
46,47,43
54,58,52
54,47,50
55,33,51
39,47,40
49,49,43
51,45,38
43,44,35
44,55,45
48,63,55
47,52,50
46,39,42
48,37,45
51,50,60
57,64,73
47,52,61
50,47,56
64,60,65
55,63,62
48,68,63
56,59,63
53,56,60
59,61,69
53,55,65
52,54,65
53,55,66
46,48,58
52,56,61
63,66,70
62,64,64
62,62,62
57,55,55
54,49,51
61,55,60
66,57,67
61,50,60
57,54,40
47,55,45
47,64,53
41,59,42
40,46,29
54,45,42
60,45,59
45,40,55
44,52,52
37,46,36
49,52,43
57,54,49
65,66,57
64,68,63
46,48,59
47,42,73
65,61,66
72,71,75
70,73,77
70,78,78
79,89,89
82,94,94
89,101,101
107,116,119
118,127,131
128,134,141
136,143,152
141,150,163
143,159,172
146,166,183
148,173,189
147,175,192
151,172,194
144,165,187
137,156,177
130,148,165
123,139,155
114,130,143
106,120,132
102,114,126
109,118,128
92,101,111
87,94,103
87,93,100
79,85,90
77,82,85
71,76,79
57,62,63
55,60,63
57,57,57
64,56,56
61,50,52
56,51,60
51,54,62
42,53,50
49,59,46
49,52,37
61,55,50
61,53,63
51,50,66
30,34,45
35,40,43
42,42,36
47,41,30
63,54,50
46,38,31
47,39,32
46,37,33
45,35,35
54,42,48
65,54,64
53,41,53
44,31,47
57,45,63
52,40,58
39,31,42
36,32,37
41,40,36
46,47,38
39,40,30
48,49,33
37,44,31
34,45,37
37,44,47
41,39,51
50,36,54
55,37,54
47,39,49
38,46,45
37,53,46
27,43,32
33,38,29
45,40,37
40,35,37
35,34,43
37,40,54
49,38,41
50,40,46
45,39,40
35,35,23
39,45,20
42,51,25
35,42,29
39,40,44
44,43,53
45,44,53
45,47,48
53,56,60
52,53,63
44,44,58
36,38,48
45,52,55
42,40,46
41,37,42
57,50,53
59,54,53
58,53,52
52,46,47
42,33,36
57,41,52
63,45,62
54,39,60
51,39,59
51,39,57
49,39,51
52,45,50
56,52,51
50,50,44
61,48,74
41,38,53
31,35,36
47,46,42
58,49,52
48,40,51
43,38,53
52,48,59
33,26,29
51,46,45
40,39,41
35,37,45
44,43,53
32,28,33
26,32,21
34,50,27
41,24,58
29,29,45
20,33,25
40,47,26
50,50,32
39,44,35
38,55,52
42,59,55
35,43,33
46,51,42
36,50,46
26,42,41
36,41,40
47,37,37
45,35,35
37,36,38
14,31,44
51,45,62
55,28,44
57,31,44
36,30,35
27,33,38
23,22,32
50,34,45
48,37,39
20,32,20
9,40,25
22,46,46
33,36,51
43,34,47
45,45,39
31,47,23
41,53,25
47,44,46
54,38,62
59,42,56
43,37,30
41,45,33
24,38,32
20,42,37
22,50,31
21,47,23
31,42,34
45,38,51
46,33,49
51,39,45
36,33,25
33,32,22
37,43,54
19,31,31
20,33,25
37,42,40
38,30,40
40,31,44
41,37,42
42,42,36
45,42,34
48,41,44
40,36,47
27,27,33
33,32,28
40,37,29
38,32,33
45,39,50
43,37,26
42,40,40
48,51,56
39,41,41
38,35,30
57,48,51
46,41,56
37,42,51
41,51,45
55,56,46
57,46,49
54,43,53
58,55,57
53,56,47
54,47,44
66,46,58
48,54,43
54,55,45
54,54,42
41,45,34
38,47,37
46,54,47
48,53,52
60,56,62
62,56,67
57,52,67
45,45,59
41,41,53
54,53,62
59,62,66
54,62,61
56,72,65
44,52,51
47,55,55
54,61,64
48,51,59
40,42,52
47,49,57
50,53,58
49,50,54
40,42,42
47,51,46
54,58,52
53,57,51
51,54,52
52,54,54
48,49,53
38,38,44
58,49,40
37,42,40
33,55,50
41,58,47
53,52,42
66,47,50
57,38,55
41,37,49
38,47,44
47,56,43
50,48,37
61,56,47
57,61,49
42,52,40
47,54,57
55,53,75
58,55,57
72,74,75
74,78,79
73,81,81
79,91,91
80,94,93
89,101,103
111,123,125
120,129,133
128,134,141
133,140,149
137,146,156
140,154,166
144,163,176
147,171,183
148,174,188
149,167,190
143,160,181
133,150,169
128,144,161
121,137,150
115,129,141
108,120,132
105,115,125
101,110,119
91,98,107
86,92,99
82,89,92
74,82,82
69,78,75
66,73,68
57,65,58
56,65,52
67,70,61
64,63,59
49,48,44
48,53,44
53,64,48
43,57,39
41,51,38
51,55,49
44,42,48
42,39,54
52,50,70
45,43,65
38,38,54
40,39,48
53,50,52
53,56,34
42,41,31
47,41,42
44,38,39
45,40,37
47,40,37
57,46,54
51,36,57
47,35,55
52,44,54
48,46,45
45,45,45
34,33,42
23,22,32
29,34,33
41,50,37
52,51,25
36,46,33
29,45,44
39,43,48
50,41,44
53,42,44
44,41,50
37,35,47
42,39,48
39,44,35
33,52,31
33,51,34
43,38,39
47,29,42
35,27,37
17,30,28
26,19,34
55,38,52
55,40,44
48,51,36
30,51,19
26,42,11
49,47,36
38,34,40
33,38,53
31,37,48
29,28,32
43,36,39
37,37,43
26,37,45
22,31,35
45,45,45
43,55,59
38,43,44
57,53,52
69,63,58
64,58,51
54,43,39
55,32,36
80,45,59
86,48,70
72,41,68
66,44,69
67,50,71
54,40,52
42,36,37
45,51,40
42,58,41
65,43,62
34,37,51
21,35,41
49,44,46
65,44,43
46,40,33
35,52,41
47,58,55
44,28,35
54,29,43
39,39,51
34,50,57
39,39,45
43,23,28
47,39,39
19,36,32
51,31,60
40,33,54
30,35,36
42,46,27
50,54,25
45,53,36
38,52,51
36,49,51
33,41,34
42,53,37
36,52,41
29,43,42
40,41,45
54,43,45
51,39,39
37,33,32
13,29,46
45,41,47
60,36,30
59,38,30
41,39,38
21,31,38
11,14,19
46,29,32
51,29,31
39,30,33
28,36,43
22,30,37
30,23,26
57,38,41
60,45,49
35,26,36
41,41,41
37,36,40
44,40,45
49,48,44
54,56,44
49,56,43
32,39,36
31,40,43
36,46,46
32,45,37
29,41,29
38,43,34
43,42,38
46,41,42
36,27,30
42,33,36
32,41,50
23,27,32
17,21,22
29,34,37
29,35,42
39,40,50
42,38,44
40,40,40
44,49,48
48,52,57
44,41,50
38,29,39
47,40,43
48,42,43
43,31,37
59,39,52
43,40,42
36,34,34
47,45,44
54,55,53
53,54,58
43,43,55
44,43,59
52,50,62
49,51,51
46,50,44
47,48,44
58,55,57
62,55,60
48,39,42
44,36,36
59,52,49
46,41,38
40,42,36
44,52,42
45,53,42
45,49,37
37,41,30
30,35,26
43,48,46
54,58,59
41,38,47
34,25,38
48,44,56
58,60,71
42,51,60
37,45,52
43,49,54
50,65,61
41,55,53
45,57,59
53,62,66
50,53,61
52,55,60
61,62,66
51,53,53
54,58,53
55,60,51
51,59,48
48,57,47
45,56,48
40,51,48
34,47,45
35,47,47
68,55,47
51,44,49
36,36,52
40,43,57
48,47,57
52,42,55
58,48,61
56,58,59
38,57,38
41,63,38
46,59,43
59,60,51
51,47,36
45,45,27
65,68,53
63,69,64
61,61,61
69,71,72
72,77,78
73,83,83
77,89,89
81,94,96
92,105,107
109,120,124
118,127,131
126,132,139
130,137,146
135,144,153
139,151,161
142,161,169
143,165,176
141,168,178
147,161,184
141,155,177
133,148,167
127,141,159
121,134,148
114,126,138
108,118,128
106,115,125
100,107,116
91,99,106
83,90,93
76,84,84
70,80,74
64,75,65
60,72,60
58,71,57
49,49,43
51,52,56
54,55,69
39,44,53
32,39,36
39,46,33
42,48,37
43,48,47
29,36,39
37,48,46
42,53,45
35,43,33
36,40,35
36,37,41
37,40,45
34,40,45
38,47,27
44,50,39
55,56,54
55,55,55
53,51,51
50,45,46
48,42,47
44,37,44
41,37,42
53,51,50
46,51,42
37,43,38
32,37,40
28,33,42
33,40,49
33,43,50
36,44,27
32,42,30
33,39,34
38,36,35
42,38,33
46,43,38
35,40,39
25,26,30
31,27,32
32,30,29
41,48,41
36,47,39
40,42,42
55,50,52
50,46,45
40,42,36
48,43,45
40,29,37
34,23,31
45,46,44
34,44,31
31,43,25
53,56,47
36,38,39
41,45,50
41,49,49
35,36,32
29,27,27
29,31,39
29,35,46
30,36,41
41,46,44
23,37,33
41,42,40
59,50,47
54,42,40
46,39,36
60,50,50
71,49,54
72,37,47
68,32,46
62,36,50
62,45,58
69,55,66
60,41,50
49,35,37
54,51,47
46,54,47
53,44,47
40,39,43
33,36,41
49,43,48
49,39,39
39,38,28
45,54,41
52,57,48
45,39,40
36,25,33
40,37,46
45,48,53
48,46,52
51,39,51
55,45,62
33,30,52
37,22,50
41,27,51
40,32,39
26,31,10
28,42,8
44,55,35
40,45,48
25,33,40
21,37,26
30,51,29
35,49,37
36,40,41
42,41,45
51,47,46
52,43,40
44,32,32
7,20,34
30,27,19
42,28,0
31,25,0
25,44,25
15,44,35
12,26,20
51,36,34
71,35,49
57,20,52
52,28,60
53,38,46
51,32,17
59,32,22
55,24,51
34,3,64
34,28,59
40,45,46
44,63,36
27,46,21
40,49,39
48,49,47
49,42,39
51,38,40
55,41,53
52,44,55
35,42,35
26,45,18
29,48,21
38,47,37
29,24,33
36,24,42
42,47,48
52,44,55
45,31,49
35,35,47
19,35,34
23,37,35
28,33,36
34,40,51
30,49,57
9,29,30
21,26,24
45,34,37
51,34,48
41,25,43
48,22,36
77,38,46
37,38,52
43,41,40
52,48,37
55,53,52
44,47,61
20,27,44
37,39,50
46,38,48
36,28,38
41,45,46
44,55,45
46,50,44
53,40,48
52,30,48
45,34,37
41,44,28
51,38,46
44,43,45
44,54,48
40,50,38
44,47,32
46,46,28
35,41,24
39,52,38
49,60,52
50,48,48
46,35,43
54,45,58
42,48,61
29,40,54
42,49,64
52,51,67
46,66,61
27,44,41
30,44,43
55,67,69
50,56,61
39,42,47
53,55,56
49,52,50
47,51,45
46,52,41
42,52,39
47,59,47
49,65,54
40,58,51
33,53,48
41,59,58
63,48,39
73,53,66
53,32,65
39,28,66
32,32,62
35,38,59
56,58,68
53,61,50
50,74,42
33,71,35
37,67,48
44,51,48
64,50,44
83,66,47
74,71,43
69,81,51
78,78,78
70,72,72
70,75,76
71,81,81
72,84,84
81,94,96
92,105,107
97,108,112
113,122,126
122,128,135
129,137,144
135,144,153
139,152,160
139,158,166
137,160,168
135,161,168
143,157,180
140,153,175
133,147,166
128,140,158
119,130,144
105,117,129
98,108,118
96,105,114
95,102,111
90,98,105
83,90,93
78,86,85
76,87,79
67,79,67
56,69,53
52,66,48
56,48,59
30,24,49
27,27,63
34,38,67
37,40,54
47,47,47
49,45,50
40,40,52
41,50,59
28,51,37
27,53,17
33,53,8
55,65,29
45,51,32
35,42,37
25,39,38
23,30,25
42,52,40
50,59,46
55,59,54
46,46,52
48,44,55
43,41,41
43,45,33
47,53,36
36,42,31
26,31,29
35,44,41
38,49,46
24,38,37
24,35,49
34,41,68
32,51,48
44,47,38
50,41,27
40,37,23
35,39,33
43,48,46
45,47,41
33,34,24
30,34,28
37,36,40
45,35,48
25,18,25
20,30,24
35,52,38
38,42,31
59,41,40
43,35,22
33,31,30
33,33,45
42,37,52
52,44,54
43,48,47
28,42,36
35,47,41
41,43,37
49,49,37
42,50,39
36,47,45
53,53,65
46,39,54
38,38,44
35,50,46
39,41,35
50,41,38
64,46,47
61,44,47
46,39,42
50,46,51
64,50,54
60,37,41
68,44,46
67,54,52
67,62,59
73,63,63
69,48,51
72,45,54
77,57,69
56,46,58
40,53,45
53,44,41
58,40,41
49,47,47
25,39,37
30,33,31
62,47,45
59,49,42
40,51,41
22,38,27
44,39,36
47,27,32
44,36,47
28,35,54
34,29,60
55,28,68
43,31,61
53,31,59
56,40,47
36,39,17
27,48,10
45,57,39
46,44,50
39,42,47
25,48,34
19,47,24
33,44,34
50,43,50
44,41,43
29,33,27
35,31,26
54,32,37
21,37,36
19,36,32
19,36,27
27,36,26
39,36,31
39,28,30
51,40,48
37,36,45
28,39,43
28,44,37
34,45,29
47,46,25
54,45,25
48,38,21
34,32,21
30,34,28
41,27,45
31,26,35
40,43,48
29,31,42
26,25,41
52,48,54
44,45,35
21,31,14
25,43,26
28,52,34
21,44,22
28,46,29
36,42,47
33,34,62
14,20,57
21,33,67
45,31,55
39,25,53
46,33,65
38,30,60
31,31,49
35,39,44
32,36,37
36,35,45
35,26,47
43,28,59
47,32,59
49,39,55
49,45,50
35,37,38
26,30,35
31,35,46
38,38,38
35,45,45
22,40,41
28,40,42
41,39,45
42,34,41
37,36,45
33,41,48
28,37,41
46,44,50
53,46,51
48,45,47
44,55,53
35,50,46
30,40,34
51,50,46
44,57,65
45,50,65
43,35,58
47,31,54
54,40,51
45,43,35
36,47,27
38,56,43
40,56,62
31,40,60
35,39,64
40,40,58
33,36,41
45,52,49
42,55,47
48,63,55
56,64,57
41,50,40
46,56,39
58,70,42
50,57,36
50,48,47
45,38,53
65,55,71
50,42,52
50,43,58
49,41,64
43,41,53
57,67,51
58,76,39
51,69,38
38,51,37
39,42,47
47,55,54
38,53,45
33,47,45
38,50,60
51,60,74
44,49,58
60,61,59
51,44,41
65,51,55
67,51,62
61,54,59
45,49,43
40,57,46
49,74,70
39,65,71
55,65,48
66,71,69
61,63,74
80,80,96
91,98,101
82,96,84
92,111,92
98,113,105
104,115,123
114,121,140
123,132,145
129,143,141
136,154,141
140,155,147
144,153,162
150,155,176
137,163,170
136,156,173
133,150,169
124,140,152
115,131,130
111,125,119
105,114,117
98,98,114
92,92,110
89,89,101
82,87,90
81,85,90
68,71,85
56,62,73
54,66,66
50,67,54
68,75,32
47,53,48
37,39,63
42,42,54
40,44,33
50,60,48
40,57,54
42,57,49
52,61,35
50,52,32
47,50,54
36,39,53
44,48,37
44,48,13
39,45,22
33,39,44
46,16,35
56,37,54
54,53,57
39,57,44
36,63,47
43,65,70
39,51,75
27,34,53
44,55,52
39,55,37
35,51,40
30,42,44
38,45,48
41,42,46
38,27,43
56,35,67
42,45,23
42,33,30
45,35,47
42,53,51
30,57,37
32,49,28
40,38,28
36,30,25
36,41,32
32,42,36
25,27,35
32,29,38
31,39,32
38,53,39
41,37,42
50,22,51
63,46,27
37,40,45
20,37,64
24,33,60
42,36,53
47,37,53
35,36,57
44,45,65
42,35,38
45,35,25
32,33,24
33,48,50
38,57,60
41,52,50
52,57,48
49,53,41
46,57,25
51,64,50
52,56,61
63,48,56
71,45,39
75,56,35
77,63,44
60,37,29
97,56,54
112,69,60
106,77,56
92,71,50
92,60,54
93,51,62
84,50,67
71,54,68
80,60,42
59,38,40
52,34,51
57,52,61
47,53,42
39,48,28
45,46,42
44,35,48
47,39,50
46,47,37
45,59,31
36,49,27
22,28,27
47,46,55
48,47,43
42,44,22
31,35,30
60,49,45
59,43,37
45,44,40
39,51,55
35,44,57
43,37,54
51,41,54
50,47,49
43,47,41
38,39,35
25,30,31
24,43,50
16,38,44
27,29,37
43,20,28
26,45,42
31,45,41
39,45,40
58,57,53
49,48,44
30,32,33
27,33,38
31,37,42
30,35,38
36,37,33
43,41,30
48,45,30
45,43,25
33,32,18
28,27,17
31,31,25
45,32,48
36,32,38
41,45,46
33,36,44
36,34,46
49,45,50
35,33,25
15,21,10
12,23,20
23,40,37
27,46,37
31,43,37
31,34,42
25,26,47
17,24,49
25,41,58
61,51,63
26,17,30
29,23,34
42,41,50
30,35,36
25,32,29
30,36,31
31,33,33
27,22,31
48,39,52
55,45,58
47,39,49
44,41,43
39,41,41
33,38,37
30,36,35
45,44,46
42,51,55
31,45,51
28,40,42
37,36,38
47,40,45
46,45,54
31,40,44
25,35,35
36,35,37
50,43,48
55,51,56
43,54,52
38,54,47
39,46,43
32,30,30
29,38,51
38,44,55
44,44,58
39,32,53
47,40,55
46,48,42
33,46,20
44,60,42
36,47,55
33,38,63
35,42,62
37,44,53
36,42,47
50,54,59
45,52,49
45,56,40
46,51,54
50,55,54
40,47,40
38,43,34
55,58,49
59,60,58
40,35,44
45,35,58
53,41,71
56,44,72
46,41,56
45,46,50
41,46,45
47,54,49
40,51,41
42,55,39
58,63,61
52,57,58
29,36,39
44,56,58
45,57,59
30,41,45
37,42,51
49,49,55
57,52,53
50,42,42
61,52,55
68,63,65
51,54,52
50,62,56
52,71,68
26,47,48
47,55,44
59,64,62
65,68,76
83,85,95
90,97,100
85,98,90
93,110,97
99,113,107
110,122,128
117,126,139
122,132,142
126,140,139
133,147,141
138,152,148
144,154,161
152,159,174
139,161,172
135,157,169
134,150,166
124,141,150
116,131,134
112,124,124
106,115,119
100,102,113
95,96,110
95,95,107
87,90,98
84,87,95
76,81,90
69,77,84
65,75,75
51,63,57
52,66,38
50,46,51
47,35,63
44,44,62
34,47,45
44,55,52
45,48,53
50,54,55
28,40,28
39,47,40
59,53,64
46,35,51
35,34,30
28,40,18
43,48,39
60,50,66
56,38,51
45,33,45
42,41,50
51,63,63
47,68,66
32,54,59
29,47,58
36,52,64
30,44,50
25,36,40
35,44,47
40,48,48
41,48,43
41,44,42
38,31,46
43,28,60
46,51,30
42,38,37
33,27,38
27,29,30
31,40,27
35,45,28
32,40,29
27,34,27
36,43,36
51,56,54
36,35,44
28,28,34
41,42,38
47,51,40
34,28,33
37,22,49
61,38,42
36,38,46
18,40,51
24,37,53
44,38,55
48,39,52
33,35,46
36,39,54
50,39,55
44,28,35
38,35,30
29,46,35
27,46,43
37,47,47
39,43,38
30,35,20
48,49,40
47,54,49
44,50,45
53,47,36
63,46,27
81,60,39
96,75,60
96,61,57
118,68,62
131,79,62
127,88,60
117,85,62
111,73,68
107,66,71
92,63,66
73,61,55
88,62,55
68,47,45
68,55,57
59,54,55
40,43,41
37,41,36
37,37,37
43,38,40
49,44,45
36,36,30
46,53,40
44,54,41
47,54,47
43,47,42
50,47,42
55,50,41
32,38,33
56,50,45
59,47,41
48,45,41
34,41,44
29,30,44
39,31,48
43,37,48
32,38,37
35,46,38
33,35,29
24,21,23
33,39,46
42,55,63
46,52,57
45,38,41
22,39,35
31,40,37
39,34,35
52,45,48
33,34,38
16,29,31
10,30,31
22,38,37
30,30,30
46,34,32
53,37,31
44,35,26
35,34,24
30,35,26
36,41,32
44,46,40
43,27,44
44,38,43
48,53,51
43,48,49
46,46,52
49,44,45
36,32,27
35,36,34
31,36,45
27,36,50
29,39,46
32,37,40
41,40,50
39,39,55
33,42,51
26,45,42
43,36,39
49,45,44
36,39,30
38,45,32
46,55,42
32,41,31
24,30,25
37,40,38
39,37,36
44,39,40
42,35,40
41,32,42
43,38,47
44,43,47
37,42,41
34,42,35
26,24,30
32,37,46
36,46,56
34,43,47
29,27,27
34,27,30
44,43,47
33,41,41
39,48,45
41,42,38
40,31,34
42,38,43
32,40,40
28,41,39
44,49,50
46,38,48
34,40,53
24,32,39
44,52,59
38,42,60
29,32,46
49,57,47
51,63,35
46,57,37
38,40,50
39,43,68
42,52,69
45,60,63
40,53,55
43,49,56
35,38,36
40,43,27
38,39,49
35,38,42
43,45,45
43,45,46
53,55,55
58,60,54
54,54,54
53,46,67
43,30,68
49,40,67
42,44,45
41,49,39
33,35,43
33,32,52
29,34,43
38,51,37
41,47,36
39,41,42
33,34,44
58,62,67
52,61,58
37,47,41
43,48,51
38,38,50
47,47,53
53,54,50
55,56,47
55,56,52
67,69,70
63,68,71
51,59,58
59,71,65
63,69,64
66,72,71
75,80,81
80,87,90
79,87,87
79,90,87
87,101,97
94,107,105
102,114,116
110,122,126
119,130,134
125,137,139
132,144,144
136,148,150
140,151,155
147,157,164
139,158,173
134,154,165
130,150,155
124,140,146
116,128,138
113,122,132
107,114,123
99,105,110
94,98,103
86,88,99
80,81,95
81,83,94
68,72,77
50,58,58
53,60,63
57,63,68
47,61,50
54,48,59
57,44,68
51,53,71
38,54,60
40,49,52
38,34,40
43,39,45
52,59,62
43,49,54
52,42,54
47,30,39
44,41,37
43,52,42
50,51,55
60,45,66
60,54,65
45,42,51
40,40,52
49,54,69
53,63,80
43,62,69
34,62,63
39,65,72
43,60,81
36,43,70
47,50,65
52,54,54
45,47,41
42,44,44
35,36,50
27,28,49
32,34,22
37,41,42
39,38,48
38,27,35
40,28,24
34,36,24
26,43,32
30,48,41
34,41,38
37,36,38
32,31,40
37,37,43
44,37,34
51,40,36
42,35,42
27,31,50
66,35,68
36,38,48
16,41,37
19,34,36
38,34,45
46,39,46
32,37,38
37,39,49
46,31,58
46,24,48
55,50,51
36,54,37
22,42,30
36,44,44
44,45,43
46,49,34
54,44,57
50,51,55
48,55,42
56,57,31
68,56,28
87,63,43
110,74,66
123,70,67
142,76,65
157,90,63
162,107,70
154,108,77
142,96,79
134,91,82
120,91,76
104,91,65
98,63,67
78,52,45
76,66,49
54,52,42
37,35,41
44,40,52
41,37,42
48,47,37
36,35,25
43,41,40
56,56,62
44,49,48
41,51,35
40,46,27
49,46,38
55,43,49
30,35,33
44,41,36
51,45,38
50,45,42
39,35,40
39,30,43
51,40,56
42,44,52
16,31,27
27,44,33
39,44,35
53,42,44
47,39,46
33,36,41
24,34,34
31,45,41
26,33,28
39,41,41
37,33,38
30,27,36
18,23,32
18,34,40
16,38,36
20,37,33
33,37,32
53,41,39
56,38,39
41,24,27
28,20,21
29,32,30
32,42,36
26,41,33
33,18,32
38,33,35
41,45,40
40,44,45
49,47,53
46,39,42
38,31,28
51,48,50
41,41,57
27,31,50
29,33,44
26,26,32
31,25,36
27,23,35
28,35,38
19,36,27
19,13,18
39,36,32
37,42,27
36,45,25
36,45,32
38,43,41
43,46,50
39,38,42
49,47,47
46,42,41
41,34,39
40,29,45
45,33,55
46,38,55
39,39,45
34,39,37
34,28,45
22,23,37
22,31,41
36,42,49
37,33,38
40,34,35
46,47,45
33,40,35
40,47,42
56,55,51
45,37,37
51,46,48
50,55,58
31,40,44
42,44,52
62,54,65
46,53,56
23,32,41
32,44,56
29,44,53
18,34,33
39,54,40
51,60,40
39,44,29
44,46,47
42,45,59
32,42,59
34,50,62
33,50,53
38,47,44
40,40,34
56,51,42
42,42,48
41,43,43
51,55,50
45,49,43
41,46,37
39,46,33
47,52,43
42,43,47
40,37,52
46,48,56
54,62,52
46,55,42
45,51,50
32,34,45
32,34,44
32,38,37
37,38,29
28,29,27
43,42,46
50,48,54
39,41,41
46,50,44
48,53,51
45,48,56
43,45,56
35,40,41
44,54,41
49,58,45
53,54,58
58,54,66
58,55,57
72,72,60
64,69,70
63,69,68
72,81,78
74,83,80
70,81,79
81,91,91
91,103,105
98,110,110
97,109,109
106,119,117
113,125,125
119,131,133
127,138,142
133,142,146
136,145,148
143,153,153
138,154,170
132,152,157
128,149,147
122,139,142
114,125,139
111,118,137
106,112,123
99,107,107
90,98,98
83,85,95
79,79,95
82,82,94
65,69,70
46,51,49
51,55,60
61,61,77
47,51,52
46,51,54
44,50,55
42,48,55
41,47,52
35,42,39
23,31,24
32,35,33
46,42,48
41,33,43
42,37,34
37,36,22
37,36,22
39,35,30
38,31,38
42,35,48
41,50,64
49,58,68
55,60,75
52,56,81
53,60,87
54,73,88
48,77,84
40,68,85
50,69,104
48,57,91
53,56,71
54,54,54
52,48,54
49,48,64
39,48,58
27,44,41
29,28,24
24,27,31
29,29,41
44,30,42
47,27,32
35,32,27
22,39,30
17,38,30
31,36,37
30,26,32
34,32,38
41,40,42
40,30,30
49,33,34
46,39,46
25,32,47
58,28,69
35,35,51
17,40,35
16,34,27
33,32,34
41,35,40
31,35,36
38,41,46
46,34,54
44,24,47
42,34,45
30,42,36
31,48,35
44,52,42
47,47,41
48,46,38
48,35,49
49,44,46
54,53,43
65,62,41
79,65,43
101,68,53
129,77,70
154,84,77
187,105,88
200,119,86
205,134,90
197,138,92
181,128,91
166,117,91
149,106,85
132,95,75
112,68,75
90,60,49
77,64,38
54,49,34
47,39,50
54,47,68
51,46,55
51,51,39
57,57,43
46,42,47
35,29,46
45,44,53
47,54,39
51,57,34
45,39,32
55,38,52
43,43,43
37,38,34
40,43,34
48,48,42
43,36,39
47,33,45
55,42,56
37,37,43
42,58,51
26,46,33
23,31,20
53,43,43
62,47,51
46,40,45
22,35,33
28,52,44
20,16,11
35,33,33
38,40,48
22,25,39
27,33,46
34,41,50
35,45,45
29,42,34
34,45,35
40,44,39
51,40,43
52,31,40
44,24,36
40,34,39
30,43,41
16,43,34
41,26,40
36,31,33
29,31,31
34,37,42
51,47,59
48,39,49
37,29,29
46,41,42
48,47,57
29,33,44
31,36,39
32,32,32
36,28,35
29,19,35
29,27,39
18,26,26
40,32,42
43,41,40
33,37,26
38,45,30
42,50,40
36,40,41
41,40,49
45,43,49
38,35,37
53,47,48
57,49,56
46,34,52
39,26,50
42,33,53
39,36,45
29,29,29
43,32,58
29,29,43
25,33,40
37,39,49
38,32,43
41,34,37
50,51,41
39,47,36
42,48,43
58,56,56
42,37,34
42,39,34
42,45,49
32,32,48
47,44,60
65,57,67
43,57,45
46,55,68
27,37,61
26,45,50
37,61,43
37,53,35
38,44,39
41,42,38
40,44,33
