R,G,B
36,43,38
32,40,40
38,42,47
44,47,52
31,27,32
40,34,35
42,38,33
27,28,18
19,26,13
37,47,34
37,46,36
21,27,22
30,29,31
37,33,38
42,36,31
35,32,18
42,42,24
35,37,25
17,19,20
29,28,38
45,46,50
37,41,36
33,37,32
42,41,45
38,33,42
37,32,34
40,40,28
36,38,18
39,40,24
48,45,37
33,38,37
27,33,28
25,24,28
33,20,46
45,20,64
43,19,54
34,21,37
34,30,35
39,40,44
38,41,45
34,39,38
35,34,43
25,16,42
25,11,39
24,10,16
37,27,9
41,52,42
6,32,18
0,27,17
33,38,37
47,28,31
40,18,13
43,27,20
44,30,32
32,15,26
28,23,22
20,36,13
11,33,9
32,34,35
27,12,33
32,32,38
22,49,29
53,43,26
37,30,21
37,35,25
27,23,5
36,27,13
31,21,27
24,18,43
44,40,59
43,41,40
27,26,16
44,46,47
39,36,52
25,16,26
45,31,25
39,25,13
22,13,4
19,28,31
28,38,38
18,28,28
13,20,23
23,31,31
23,30,27
21,23,24
33,27,44
37,26,52
43,37,48
29,31,19
20,26,9
17,22,21
12,14,32
14,22,35
24,38,37
41,34,61
26,20,37
25,24,28
38,37,39
38,35,44
35,29,48
35,29,48
31,26,35
33,34,25
27,32,11
31,35,16
39,38,28
37,33,32
33,30,25
34,36,17
35,40,11
33,36,41
21,27,26
26,33,30
28,32,37
19,23,34
21,24,32
26,32,31
38,43,41
35,37,38
21,23,24
19,23,17
25,35,23
29,39,33
28,40,42
24,38,37
14,31,27
26,27,37
40,52,52
25,40,32
21,24,15
35,30,29
31,36,34
27,41,30
39,44,29
50,38,28
45,32,30
29,31,32
18,26,25
30,23,14
49,30,17
46,36,26
23,31,24
23,20,22
21,17,16
33,31,21
42,41,21
32,31,11
31,22,19
36,23,39
39,25,43
47,42,44
40,43,28
34,39,24
37,37,37
39,34,49
34,27,42
30,26,31
34,31,27
26,36,24
14,27,11
13,27,16
31,39,46
38,41,56
30,31,35
31,34,18
40,43,21
44,42,32
21,13,14
32,20,18
45,34,20
48,38,21
50,36,30
39,24,32
41,27,45
20,37,16
41,43,31
39,30,26
28,25,17
30,40,24
26,39,23
25,26,17
42,28,30
60,43,46
45,41,36
32,36,25
35,33,25
49,35,37
52,32,37
35,25,25
16,22,11
36,27,24
43,42,38
40,53,45
29,46,37
27,40,32
33,37,31
32,32,26
39,39,33
28,35,28
16,25,15
26,29,20
41,35,28
42,32,25
35,32,24
26,34,24
15,32,21
31,39,22
29,44,23
26,40,22
39,41,35
42,32,38
32,25,32
37,40,38
36,43,30
36,36,22
49,46,42
16,19,23
11,18,21
31,34,32
44,42,34
53,50,45
30,32,32
7,20,12
13,26,24
21,31,41
26,24,53
26,15,48
22,12,35
15,18,32
16,28,46
17,27,51
20,16,28
50,36,24
58,45,23
37,33,28
22,23,37
18,24,31
33,39,28
50,42,19
32,20,8
34,21,23
40,32,42
34,35,45
12,19,28
22,26,37
35,36,57
24,24,54
25,26,60
30,27,53
45,32,46
53,35,36
46,35,31
30,39,36
7,34,31
36,37,28
19,20,11
33,30,26
40,36,35
34,32,32
34,38,39
26,38,38
17,33,32
23,40,37
20,31,28
18,24,19
37,34,30
42,35,32
37,30,27
41,36,35
36,32,31
11,32,17
24,31,16
34,33,19
28,32,21
18,25,22
34,29,31
55,35,40
44,29,33
36,35,37
33,36,40
35,28,33
43,33,33
33,36,27
11,28,14
18,33,19
40,42,30
19,36,22
23,41,28
28,42,38
35,34,43
43,27,44
45,28,41
37,29,36
23,27,32
27,39,43
26,37,41
11,19,26
24,28,46
39,38,64
34,29,50
33,25,18
42,33,0
26,36,36
22,40,27
28,48,29
37,44,37
44,29,37
47,25,30
41,24,21
29,17,15
20,17,19
14,21,18
5,23,6
9,25,8
38,39,43
38,29,49
35,34,43
22,37,23
44,32,20
44,44,32
33,35,23
45,36,26
52,33,26
51,37,39
35,31,37
27,23,29
22,9,11
40,27,25
38,36,36
34,37,42
38,31,36
39,21,22
45,30,27
38,34,29
18,29,26
25,35,35
20,29,38
10,19,29
10,21,25
18,30,30
21,30,34
16,18,36
19,17,39
28,30,38
21,28,21
19,27,17
22,25,33
22,23,43
25,31,42
25,39,35
43,44,42
21,20,24
14,10,21
34,29,44
42,37,52
35,31,42
31,30,34
25,23,23
34,34,28
31,32,22
33,36,20
30,35,14
20,23,1
15,16,0
22,21,11
30,27,23
32,34,45
32,38,37
29,36,31
19,22,30
24,23,39
34,33,42
35,36,32
43,42,38
51,45,50
24,18,23
20,21,12
40,46,29
37,44,37
19,25,30
14,26,26
26,43,32
28,30,41
22,34,36
19,31,25
37,36,32
44,38,39
25,30,31
20,36,29
40,42,30
50,31,23
41,26,24
25,33,33
21,36,32
37,28,19
60,34,22
55,43,33
24,39,31
37,38,29
41,37,36
34,28,33
34,26,27
36,33,19
32,30,6
35,30,21
54,42,60
50,35,66
46,40,51
40,45,24
42,48,23
36,34,33
28,17,37
31,22,35
33,28,25
21,21,33
32,33,31
41,39,31
47,42,44
37,34,43
26,33,26
33,48,17
46,54,24
36,29,20
46,27,36
30,13,22
29,22,19
43,41,40
36,33,35
33,28,27
48,41,32
24,36,16
21,28,13
35,38,29
36,40,29
27,32,17
31,36,21
39,38,28
40,33,30
36,28,28
42,38,33
48,46,36
46,43,35
45,35,35
47,34,36
52,43,40
54,51,43
29,33,27
22,29,22
38,46,39
39,46,39
31,33,27
36,33,28
42,40,32
35,38,29
43,51,41
31,42,32
29,41,29
24,32,21
27,33,22
46,50,39
41,47,36
20,28,17
